,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,placeLabel,ao_link,ao_description,address,url,description,fetched_coordinates
0,http://www.wikidata.org/entity/Q1348,https://de.wikipedia.org/wiki/Kolkata,https://en.wikipedia.org/wiki/Kolkata,Point(88.3638815 22.5726723),0.003,22.5726723,88.3638815,188.0,http://www.wikidata.org/entity/Q174844,Kolkata,megacity,S,orange,,,,,,,
4,http://www.wikidata.org/entity/Q1356,https://de.wikipedia.org/wiki/Westbengalen,https://en.wikipedia.org/wiki/West_Bengal,Point(88.366666666 22.566666666),0.723,22.566666666667,88.366666666667,146.0,http://www.wikidata.org/entity/Q12443800,West Bengal,state of India,S,orange,,,,,,,
5,http://www.wikidata.org/entity/Q129286,,https://en.wikipedia.org/wiki/British_Raj,Point(88.337777777 22.541111111),4.414,22.541111111111,88.337777777778,93.0,http://www.wikidata.org/entity/Q133156,British Raj,colony,S,orange,,,,,,,
6,http://www.wikidata.org/entity/Q205697,https://de.wikipedia.org/wiki/Haora,https://en.wikipedia.org/wiki/Howrah,Point(88.329444444 22.58),3.63,22.58,88.329444444444,74.0,http://www.wikidata.org/entity/Q105074756,Howrah,municipal corporation of West Bengal,S,orange,,,,,,,
7,http://www.wikidata.org/entity/Q1145306,https://de.wikipedia.org/wiki/University_of_Calcutta,https://en.wikipedia.org/wiki/University_of_Calcutta,Point(88.3628 22.575),0.285,22.575,88.3628,64.0,http://www.wikidata.org/entity/Q875538,University of Calcutta,public university,S,orange,,,,,,,
9,http://www.wikidata.org/entity/Q787124,https://de.wikipedia.org/wiki/Yuba_Bharati_Krirangan,https://en.wikipedia.org/wiki/Salt_Lake_Stadium,Point(88.409167 22.568889),4.667,22.568889,88.409167,33.0,http://www.wikidata.org/entity/Q1154710,Vivekananda Yuba Bharati Krirangan,association football venue,S,orange,,,,,,,
10,http://www.wikidata.org/entity/Q1356352,https://de.wikipedia.org/wiki/Victoria_Memorial_(Indien),"https://en.wikipedia.org/wiki/Victoria_Memorial,_Kolkata",Point(88.3425 22.5449),3.787,22.5449,88.3425,31.0,http://www.wikidata.org/entity/Q5003624,Victoria Memorial,memorial,S,orange,,,,,,,
12,http://www.wikidata.org/entity/Q817165,https://de.wikipedia.org/wiki/Bengalen_(Pr%C3%A4sidentschaft),https://en.wikipedia.org/wiki/Bengal_Presidency,Point(88.337778 22.541111),4.414,22.541111,88.337778,26.0,http://www.wikidata.org/entity/Q15646712,Bengal Presidency,province of British India,S,orange,,,,,,,
14,http://www.wikidata.org/entity/Q739641,https://de.wikipedia.org/wiki/Howrah_Bridge,https://en.wikipedia.org/wiki/Howrah_Bridge,Point(88.34694 22.58527),2.236,22.58527,88.34694,26.0,http://www.wikidata.org/entity/Q1429218,Howrah Bridge,cantilever bridge,S,orange,,,,,,,
16,http://www.wikidata.org/entity/Q1202492,,https://en.wikipedia.org/wiki/Black_Hole_of_Calcutta,Point(88.348 22.5734),1.634,22.5734,88.348,25.0,http://www.wikidata.org/entity/Q89753,Black Hole of Calcutta,dungeon,S,orange,,,,,,,
18,http://www.wikidata.org/entity/Q1364900,https://de.wikipedia.org/wiki/Indian_Museum,https://en.wikipedia.org/wiki/Indian_Museum,Point(88.350833333 22.558055555),2.105,22.558055555556,88.350833333333,25.0,http://www.wikidata.org/entity/Q17431399,Indian Museum,national museum,S,orange,,,,,,,
19,http://www.wikidata.org/entity/Q2035004,https://de.wikipedia.org/wiki/Ranji_Stadium,https://en.wikipedia.org/wiki/Eden_Gardens,Point(88.343333333 22.564444444),2.3,22.564444444444,88.343333333333,25.0,http://www.wikidata.org/entity/Q682943,Eden Gardens,cricket field,S,orange,,,,,,,
20,http://www.wikidata.org/entity/Q122981749,https://de.wikipedia.org/wiki/East_Bengal_FC,https://en.wikipedia.org/wiki/East_Bengal_FC,Point(88.343236111 22.559461111),2.579,22.559461111111,88.343236111111,25.0,http://www.wikidata.org/entity/Q476028,East Bengal FC,association football club,S,orange,,,,,,,
21,http://www.wikidata.org/entity/Q2750027,,"https://en.wikipedia.org/wiki/Fort_William,_India",Point(88.338055555 22.557777777),3.126,22.557777777778,88.338055555556,22.0,http://www.wikidata.org/entity/Q1785071,Fort William,fort,S,orange,,,,,,,
22,http://www.wikidata.org/entity/Q129094549,,https://en.wikipedia.org/wiki/2024_Kolkata_rape_and_murder,Point(88.3782948 22.6041254),3.8,22.6041254,88.3782948,20.0,http://www.wikidata.org/entity/Q132821,2024 R. G. Kar Medical College and Hospital rape and murder,murder,S,orange,,,,,,,
26,http://www.wikidata.org/entity/Q2096814,https://de.wikipedia.org/wiki/Unruhen_in_Kalkutta_1946,https://en.wikipedia.org/wiki/Direct_Action_Day,Point(88.36 22.58),0.91,22.58,88.36,17.0,http://www.wikidata.org/entity/Q1190554,Direct Action Day,occurrence,A,green,,,,,,,
27,http://www.wikidata.org/entity/Q2428745,,https://en.wikipedia.org/wiki/Fort_William_College,Point(88.349634 22.57369),1.469,22.57369,88.349634,15.0,http://www.wikidata.org/entity/Q189004,Fort William College,college,A,green,,,,,,,
28,http://www.wikidata.org/entity/Q1145433,https://de.wikipedia.org/wiki/Vidyasagar_Setu,https://en.wikipedia.org/wiki/Vidyasagar_Setu,Point(88.327777777 22.556944444),4.099,22.556944444444,88.327777777778,15.0,http://www.wikidata.org/entity/Q158555,Vidyasagar Setu,cable-stayed bridge,A,green,,,,,,,
29,http://www.wikidata.org/entity/Q1898467,https://de.wikipedia.org/wiki/St.-Pauls-Kathedrale_(Kolkata),"https://en.wikipedia.org/wiki/St._Paul%27s_Cathedral,_Kolkata",Point(88.34667 22.54417),3.627,22.54417,88.34667,14.0,http://www.wikidata.org/entity/Q2977,St. Paul's Cathedral,cathedral,A,green,,,,,,,
30,http://www.wikidata.org/entity/Q987578,,https://en.wikipedia.org/wiki/Maidan_(Kolkata),Point(88.347222222 22.551388888),2.918,22.551388888889,88.347222222222,13.0,http://www.wikidata.org/entity/Q22746,Maidan,urban park,A,green,,,,,,,
31,http://www.wikidata.org/entity/Q3349172,,https://en.wikipedia.org/wiki/Tipu_Sultan_Mosque,Point(88.3520934 22.5655184),1.448,22.5655184,88.3520934,13.0,http://www.wikidata.org/entity/Q32815,Tipu Sultan Mosque,mosque,A,green,,,,,,,
32,http://www.wikidata.org/entity/Q474265,https://de.wikipedia.org/wiki/Kolkata_Film_Festival,https://en.wikipedia.org/wiki/Kolkata_International_Film_Festival,Point(88.341666666 22.566127777),2.395,22.566127777778,88.341666666667,13.0,http://www.wikidata.org/entity/Q220505,Kolkata International Film Festival,film festival,A,green,,,,,,,
34,http://www.wikidata.org/entity/Q3349812,https://de.wikipedia.org/wiki/Metropolregion_Kolkata,https://en.wikipedia.org/wiki/Kolkata_metropolitan_region,Point(88.337777777 22.541111111),4.414,22.541111111111,88.337777777778,13.0,http://www.wikidata.org/entity/Q245260,Kolkata Metropolitan Area,conurbation,A,green,,,,,,,
36,http://www.wikidata.org/entity/Q3124866,,https://en.wikipedia.org/wiki/Sonagachi,Point(88.3597 22.5875),1.707,22.5875,88.3597,12.0,http://www.wikidata.org/entity/Q123705,Sonagachi,neighborhood,A,green,,,,,,,
37,http://www.wikidata.org/entity/Q2749583,,"https://en.wikipedia.org/wiki/Presidency_University,_Kolkata",Point(88.363201 22.576319),0.415,22.576319,88.363201,11.0,http://www.wikidata.org/entity/Q875538,Presidency University,public university,A,green,,,,,,,
38,http://www.wikidata.org/entity/Q5052457,,"https://en.wikipedia.org/wiki/Holy_Rosary_Cathedral,_Kolkata",Point(88.352721 22.578664),1.328,22.578664,88.352721,11.0,http://www.wikidata.org/entity/Q2977,Cathedral of the Most Holy Rosary,cathedral,A,green,,,,,,,
39,http://www.wikidata.org/entity/Q15217311,,"https://en.wikipedia.org/wiki/Great_Eastern_Hotel,_Kolkata",Point(88.3495 22.5684),1.552,22.5684,88.3495,11.0,http://www.wikidata.org/entity/Q27686,Great Eastern Hotel,hotel,A,green,,,,,,,
40,http://www.wikidata.org/entity/Q1132340,https://de.wikipedia.org/wiki/Presidency_(Division),https://en.wikipedia.org/wiki/Presidency_division,Point(88.36666667 22.56666667),0.723,22.56666667,88.36666667,11.0,http://www.wikidata.org/entity/Q5284624,Presidency division,division of West Bengal,A,green,,,,,,,
41,http://www.wikidata.org/entity/Q3349690,,"https://en.wikipedia.org/wiki/Raj_Bhavan,_Kolkata",Point(88.34752 22.567261),1.785,22.567261,88.34752,10.0,http://www.wikidata.org/entity/Q41176,Raj Bhavan,building,A,green,,,,,,,
42,http://www.wikidata.org/entity/Q3350524,,https://en.wikipedia.org/wiki/Rabindra_Bharati_University,Point(88.359444444 22.584444444),1.389,22.584444444444,88.359444444444,10.0,http://www.wikidata.org/entity/Q875538,Rabindra Bharati University,public university,A,green,,,,,,,
44,http://www.wikidata.org/entity/Q7152833,,https://en.wikipedia.org/wiki/R._G._Kar_Medical_College_and_Hospital,Point(88.378333 22.604167),3.805,22.604167,88.378333,10.0,http://www.wikidata.org/entity/Q7705274,R. G. Kar Medical College and Hospital,tertiary referral hospital,A,green,,,,,,,
46,http://www.wikidata.org/entity/Q12062296,,https://en.wikipedia.org/wiki/Nakhoda_Mosque,Point(88.35583333 22.57638889),0.926,22.57638889,88.35583333,10.0,http://www.wikidata.org/entity/Q32815,Nakhoda Masjid,mosque,A,green,,,,,,,
47,http://www.wikidata.org/entity/Q7711913,https://de.wikipedia.org/wiki/The_42,https://en.wikipedia.org/wiki/The_42_(Kolkata),Point(88.34975 22.54835),3.067,22.54835,88.34975,10.0,http://www.wikidata.org/entity/Q11303,The 42,skyscraper,A,green,,,,,,,
48,http://www.wikidata.org/entity/Q3347163,,https://en.wikipedia.org/wiki/Jorasanko_Thakur_Bari,Point(88.3592 22.585),1.456,22.585,88.3592,9.0,http://www.wikidata.org/entity/Q16560,Jorasanko Thakur Bari,palace,B,violet,,,,,,,
49,http://www.wikidata.org/entity/Q4682601,,https://en.wikipedia.org/wiki/Adi_Ganga,Point(88.32527778 22.54972222),4.714,22.54972222,88.32527778,9.0,http://www.wikidata.org/entity/Q4022,Adi Ganga,river,B,violet,,,,,,,
50,http://www.wikidata.org/entity/Q6755210,,https://en.wikipedia.org/wiki/Marble_Palace_(Kolkata),Point(88.360143 22.582378),1.149,22.582378,88.360143,9.0,http://www.wikidata.org/entity/Q16560,Marble Palace,palace,B,violet,,,,,,,
52,http://www.wikidata.org/entity/Q1026391,https://de.wikipedia.org/wiki/Calcutta_High_Court,https://en.wikipedia.org/wiki/Calcutta_High_Court,Point(88.34333333 22.56833333),2.165,22.56833333,88.34333333,9.0,http://www.wikidata.org/entity/Q3128539,Calcutta High Court,high court,B,violet,,,,,,,
54,http://www.wikidata.org/entity/Q3347406,,https://en.wikipedia.org/wiki/Sealdah_railway_station,Point(88.3711047 22.5679661),0.905,22.5679661,88.3711047,8.0,http://www.wikidata.org/entity/Q11606300,Sealdah railway station,last station,B,violet,,,,,,,
56,http://www.wikidata.org/entity/Q3347945,,https://en.wikipedia.org/wiki/Socialist_Unity_Centre_of_India_(Communist),Point(88.35558333 22.56386111),1.297,22.56386111,88.35558333,8.0,http://www.wikidata.org/entity/Q233591,Socialist Unity Centre of India (Communist),communist party,B,violet,,,,,,,
61,http://www.wikidata.org/entity/Q7419011,,https://en.wikipedia.org/wiki/Sanskrit_College_and_University,Point(88.364286111 22.575727777),0.345,22.575727777778,88.364286111111,8.0,http://www.wikidata.org/entity/Q875538,The Sanskrit College and University,public university,B,violet,,,,,,,
63,http://www.wikidata.org/entity/Q7461557,,"https://en.wikipedia.org/wiki/Shaheed_Minar,_Kolkata",Point(88.34923 22.56286),1.858,22.56286,88.34923,8.0,http://www.wikidata.org/entity/Q4989906,Shaheed Minar,monument,B,violet,,,,,,,
65,http://www.wikidata.org/entity/Q3051967,https://de.wikipedia.org/wiki/St_John%E2%80%99s_(Kolkata),"https://en.wikipedia.org/wiki/St._John%27s_Church,_Kolkata",Point(88.34594727 22.56990433),1.868,22.56990433,88.34594727,8.0,http://www.wikidata.org/entity/Q16970,St. John's Church,church building,B,violet,,,,,,,
66,http://www.wikidata.org/entity/Q621824,,https://en.wikipedia.org/wiki/East_Bengal_Club,Point(88.343236111 22.559461111),2.579,22.559461111111,88.343236111111,7.0,http://www.wikidata.org/entity/Q13580678,East Bengal Club,multisports club,B,violet,,,,,,,
67,http://www.wikidata.org/entity/Q985758,,https://en.wikipedia.org/wiki/Writers%27_Building,Point(88.349634 22.57369),1.469,22.57369,88.349634,7.0,http://www.wikidata.org/entity/Q41176,Writers' Building,building,B,violet,,,,,,,
68,http://www.wikidata.org/entity/Q3348933,,"https://en.wikipedia.org/wiki/Medical_College_%26_Hospital,_Kolkata",Point(88.3619 22.5736),0.231,22.5736,88.3619,7.0,http://www.wikidata.org/entity/Q7705274,"Medical College and Hospital, Kolkata",tertiary referral hospital,B,violet,,,,,,,
70,http://www.wikidata.org/entity/Q3585462,,https://en.wikipedia.org/wiki/Armenian_Church_of_the_Holy_Nazareth,Point(88.351 22.579),1.501,22.579,88.351,7.0,http://www.wikidata.org/entity/Q16970,Armenian Church of the Holy Nazareth,church building,B,violet,,,,,,,
72,http://www.wikidata.org/entity/Q4887610,,https://en.wikipedia.org/wiki/Bengal_Chemicals_and_Pharmaceuticals,Point(88.399444444 22.578888888),3.715,22.578888888889,88.399444444444,7.0,http://www.wikidata.org/entity/Q4830453,Bengal Chemicals and Pharmaceuticals,business,B,violet,,,,,,,
73,http://www.wikidata.org/entity/Q4916530,,"https://en.wikipedia.org/wiki/Birla_Mandir,_Kolkata",Point(88.365 22.53055556),4.681,22.53055556,88.365,7.0,http://www.wikidata.org/entity/Q44539,Birla Mandir,temple,B,violet,,,,,,,
74,http://www.wikidata.org/entity/Q4947204,,https://en.wikipedia.org/wiki/Bose_Institute,Point(88.3937 22.5861),3.406,22.5861,88.3937,7.0,http://www.wikidata.org/entity/Q31855,Bose Institute,research institute,B,violet,,,,,,,
79,http://www.wikidata.org/entity/Q6730097,,https://en.wikipedia.org/wiki/Magen_David_Synagogue_(Kolkata),Point(88.35194397 22.57768059),1.349,22.57768059,88.35194397,7.0,http://www.wikidata.org/entity/Q34627,Magen David Synagogue,synagogue,B,violet,,,,,,,
81,http://www.wikidata.org/entity/Q23674556,,https://en.wikipedia.org/wiki/2016_Kolkata_flyover_collapse,Point(88.358255555 22.586366666),1.632,22.586366666667,88.358255555556,7.0,http://www.wikidata.org/entity/Q3839081,Kolkata flyover collapse,disaster,B,violet,,,,,,,
84,http://www.wikidata.org/entity/Q3350705,,https://en.wikipedia.org/wiki/Siege_of_Calcutta,Point(88.337777777 22.541111111),4.414,22.541111111111,88.337777777778,6.0,http://www.wikidata.org/entity/Q188055,Siege of Calcutta,siege,B,violet,,,,,,,
85,http://www.wikidata.org/entity/Q3532605,,https://en.wikipedia.org/wiki/Birla_Industrial_%26_Technological_Museum,Point(88.363360611 22.534817194),4.207,22.534817194444,88.363360611111,6.0,http://www.wikidata.org/entity/Q588140,Birla Industrial & Technological Museum,science museum,B,violet,,,,,,,
86,http://www.wikidata.org/entity/Q3584578,,"https://en.wikipedia.org/wiki/St._Thomas_Church,_Kolkata",Point(88.352222222 22.55),2.789,22.55,88.352222222222,6.0,http://www.wikidata.org/entity/Q16970,St. Thomas Church,church building,B,violet,,,,,,,
87,http://www.wikidata.org/entity/Q4728949,,https://en.wikipedia.org/wiki/All_India_Institute_of_Hygiene_and_Public_Health,Point(88.360033 22.575306),0.495,22.575306,88.360033,6.0,http://www.wikidata.org/entity/Q494230,All India Institute of Hygiene and Public Health,medical school,B,violet,,,,,,,
89,http://www.wikidata.org/entity/Q4916536,,"https://en.wikipedia.org/wiki/Birla_Planetarium,_Kolkata",Point(88.34519444 22.54553333),3.574,22.54553333,88.34519444,6.0,http://www.wikidata.org/entity/Q148319,M. P. Birla Planetarium,planetarium,B,violet,,,,,,,
90,http://www.wikidata.org/entity/Q5328741,,https://en.wikipedia.org/wiki/East_Kolkata,Point(88.3638815 22.5726723),0.003,22.5726723,88.3638815,6.0,http://www.wikidata.org/entity/Q82794,East Kolkata,geographic region,B,violet,,,,,,,
91,http://www.wikidata.org/entity/Q7010004,,"https://en.wikipedia.org/wiki/New_Market,_Kolkata",Point(88.3532 22.5607),1.723,22.5607,88.3532,6.0,http://www.wikidata.org/entity/Q132510,New Market,market,B,violet,,,,,,,
92,http://www.wikidata.org/entity/Q7037794,,https://en.wikipedia.org/wiki/Nimtala_Crematorium,Point(88.351692 22.593521),2.638,22.593521,88.351692,6.0,http://www.wikidata.org/entity/Q157570,Nimtala crematorium,crematorium,B,violet,,,,,,,
94,http://www.wikidata.org/entity/Q7245233,,https://en.wikipedia.org/wiki/Prinsep_Ghat,Point(88.3316 22.55678),3.756,22.55678,88.3316,6.0,http://www.wikidata.org/entity/Q1010155,Prinsep Ghat,ghat,B,violet,,,,,,,
96,http://www.wikidata.org/entity/Q7592175,,"https://en.wikipedia.org/wiki/St._Xavier%27s_College,_Kolkata",Point(88.356 22.5484),2.815,22.5484,88.356,6.0,http://www.wikidata.org/entity/Q43229,St. Xavier's College,organization,B,violet,,,,,,,
97,http://www.wikidata.org/entity/Q11325387,,https://en.wikipedia.org/wiki/Netaji_Bhawan,Point(88.351246 22.537586),4.109,22.537586,88.351246,6.0,http://www.wikidata.org/entity/Q33506,Netaji Bhawan,museum,B,violet,,,,,,,
98,http://www.wikidata.org/entity/Q14221200,,https://en.wikipedia.org/wiki/North_Kolkata,Point(88.3638815 22.5726723),0.003,22.5726723,88.3638815,6.0,http://www.wikidata.org/entity/Q82794,North Kolkata,geographic region,B,violet,,,,,,,
99,http://www.wikidata.org/entity/Q18697337,,https://en.wikipedia.org/wiki/Haqqani_Anjuman,Point(88.3838 22.5839),2.396,22.5839,88.3838,6.0,http://www.wikidata.org/entity/Q43229,Haqqani Anjuman,organization,B,violet,,,,,,,
100,http://www.wikidata.org/entity/Q2972549,,https://en.wikipedia.org/wiki/South_Park_Street_Cemetery,Point(88.36039 22.546568),2.922,22.546568,88.36039,5.0,http://www.wikidata.org/entity/Q39614,South Park Street Cemetery,cemetery,B,violet,,,,,,,
102,http://www.wikidata.org/entity/Q3350712,,"https://en.wikipedia.org/wiki/General_Post_Office,_Kolkata",Point(88.347769444 22.573052777),1.656,22.573052777778,88.347769444444,5.0,http://www.wikidata.org/entity/Q61443591,"General Post Office, Kolkata",head post office,B,violet,,,,,,,
104,http://www.wikidata.org/entity/Q4671456,,"https://en.wikipedia.org/wiki/Academy_of_Fine_Arts,_Kolkata",Point(88.3453662 22.5429508),3.811,22.5429508,88.3453662,5.0,http://www.wikidata.org/entity/Q43229,"Academy of Fine Arts, Kolkata",organization,B,violet,,,,,,,
106,http://www.wikidata.org/entity/Q4811954,,https://en.wikipedia.org/wiki/Asutosh_Museum_of_Indian_Art,Point(88.36087 22.56983),0.441,22.56983,88.36087,5.0,http://www.wikidata.org/entity/Q33506,Asutosh Museum of Indian Art,museum,B,violet,,,,,,,
107,http://www.wikidata.org/entity/Q4838076,,https://en.wikipedia.org/wiki/Babughat,Point(88.3398 22.5663),2.573,22.5663,88.3398,5.0,http://www.wikidata.org/entity/Q1010155,Babughat,ghat,B,violet,,,,,,,
110,http://www.wikidata.org/entity/Q5018942,,https://en.wikipedia.org/wiki/Calcutta_National_Medical_College,Point(88.3698861 22.5464277),2.979,22.5464277,88.3698861,5.0,http://www.wikidata.org/entity/Q17072837,Calcutta National Medical College,medical college in India,B,violet,,,,,,,
113,http://www.wikidata.org/entity/Q5146558,,https://en.wikipedia.org/wiki/College_Street_(Kolkata),Point(88.363354 22.575514),0.324,22.575514,88.363354,5.0,http://www.wikidata.org/entity/Q79007,College Street,street,B,violet,,,,,,,
114,http://www.wikidata.org/entity/Q5455830,,https://en.wikipedia.org/wiki/Kolkata_Race_Course,Point(88.33648333 22.54431111),4.225,22.54431111,88.33648333,5.0,http://www.wikidata.org/entity/Q11822917,Kolkata Race Course,horse racing venue,B,violet,,,,,,,
115,http://www.wikidata.org/entity/Q5922533,,https://en.wikipedia.org/wiki/Howrah_Sadar_subdivision,Point(88.3251045 22.5736296),3.984,22.5736296,88.3251045,5.0,http://www.wikidata.org/entity/Q13058507,Howrah Sadar subdivision,subdivision of West Bengal,B,violet,,,,,,,
120,http://www.wikidata.org/entity/Q6427313,,https://en.wikipedia.org/wiki/Kolkata_Town_Hall,Point(88.345 22.568055555),2.006,22.568055555556,88.345,5.0,http://www.wikidata.org/entity/Q25550691,Kolkata Town Hall,town hall,B,violet,,,,,,,
122,http://www.wikidata.org/entity/Q6480048,,https://en.wikipedia.org/wiki/Lal_Dighi,Point(88.349 22.572),1.531,22.572,88.349,5.0,http://www.wikidata.org/entity/Q3253281,Lal Dighi,artificial pond,B,violet,,,,,,,
123,http://www.wikidata.org/entity/Q6823351,,https://en.wikipedia.org/wiki/Metcalfe_Hall,Point(88.34477234 22.57160378),1.967,22.57160378,88.34477234,5.0,http://www.wikidata.org/entity/Q41176,Metcalfe Hall,building,B,violet,,,,,,,
124,http://www.wikidata.org/entity/Q6825020,,https://en.wikipedia.org/wiki/Metropolitan_Building_(Kolkata),Point(88.3516 22.5637),1.607,22.5637,88.3516,5.0,http://www.wikidata.org/entity/Q41176,Metropolitan Building,building,B,violet,,,,,,,
125,http://www.wikidata.org/entity/Q6998605,,https://en.wikipedia.org/wiki/Netaji_Indoor_Stadium,Point(88.34166667 22.56612778),2.395,22.56612778,88.34166667,5.0,http://www.wikidata.org/entity/Q483110,Netaji Indoor Stadium,stadium,B,violet,,,,,,,
126,http://www.wikidata.org/entity/Q7102369,,https://en.wikipedia.org/wiki/Oriental_Seminary,Point(88.360099999 22.592499999),2.242,22.592499999921,88.360099999616,5.0,http://www.wikidata.org/entity/Q64062731,Oriental Seminary,higher secondary school,B,violet,,,,,,,
130,http://www.wikidata.org/entity/Q7433497,,"https://en.wikipedia.org/wiki/Science_City,_Kolkata",Point(88.395833333 22.540555555),4.846,22.540555555556,88.395833333333,5.0,http://www.wikidata.org/entity/Q588140,Science City,science museum,B,violet,,,,,,,
132,http://www.wikidata.org/entity/Q7567630,,,Point(88.3638815 22.5726723),0.003,22.5726723,88.3638815,5.0,http://www.wikidata.org/entity/Q82794,South Kolkata,geographic region,B,violet,,,,,,,
134,http://www.wikidata.org/entity/Q7649902,,https://en.wikipedia.org/wiki/Sutanuti,Point(88.365833333 22.5975),2.771,22.5975,88.365833333333,5.0,http://www.wikidata.org/entity/Q21507948,Sutanuti,former village,B,violet,,,,,,,
135,http://www.wikidata.org/entity/Q7710629,,https://en.wikipedia.org/wiki/Thanthania_Kalibari,Point(88.365555555 22.580833333),0.926,22.580833333333,88.365555555556,5.0,http://www.wikidata.org/entity/Q44539,Thanthania Kalibari,temple,B,violet,,,,,,,
138,http://www.wikidata.org/entity/Q56683370,,"https://en.wikipedia.org/wiki/Rail_Museum,_Howrah",Point(88.3404447 22.5786933),2.5,22.5786933,88.3404447,5.0,http://www.wikidata.org/entity/Q18704634,Regional Railway Museum,railway museum,B,violet,,,,,,,
139,http://www.wikidata.org/entity/Q580740,,"https://en.wikipedia.org/wiki/Minerva_Theatre,_Kolkata",Point(88.36194444 22.59027778),1.971,22.59027778,88.36194444,4.0,http://www.wikidata.org/entity/Q2085381,Minerva Theatre,publishing company,C,yellow,,,,,,,
