,item,articleDE,articleEN,location,distance,lat,lon,sitelinks,thing,itemLabel,thingLabel,tier,color,placeLabel,ao_link,ao_description,address,url,description,fetched_coordinates
601,http://www.wikidata.org/entity/Q67868120,,,Point(88.369111111 22.589055555),1.902,22.589055555556,88.369111111111,1.0,http://www.wikidata.org/entity/Q41176,"55, Avedananda Road",building,D,blue,,,,,,,
602,http://www.wikidata.org/entity/Q67868299,,,Point(88.371638888 22.588277777),1.911,22.588277777778,88.371638888889,1.0,http://www.wikidata.org/entity/Q41176,"34, Avedananda Road",building,D,blue,,,,,,,
603,http://www.wikidata.org/entity/Q67868339,,,Point(88.371166666 22.588388888),1.903,22.588388888889,88.371166666667,1.0,http://www.wikidata.org/entity/Q41176,"37, Avedananda Road",building,D,blue,,,,,,,
605,http://www.wikidata.org/entity/Q67869944,,,Point(88.370771 22.592583),2.326,22.592583,88.370771,1.0,http://www.wikidata.org/entity/Q861951,"1, Raja Rajkrishna street",police station,D,blue,,,,,,,
607,http://www.wikidata.org/entity/Q67871358,,,Point(88.364388888 22.590305555),1.964,22.590305555556,88.364388888889,1.0,http://www.wikidata.org/entity/Q41176,Residence of Ramdulal Sarkar,building,D,blue,,,,,,,
608,http://www.wikidata.org/entity/Q67871483,,,Point(88.364583333 22.590277777),1.962,22.590277777778,88.364583333333,1.0,http://www.wikidata.org/entity/Q41176,Deb Houses,building,D,blue,,,,,,,
609,http://www.wikidata.org/entity/Q67872010,,,Point(88.367555555 22.592944444),2.288,22.592944444444,88.367555555556,1.0,http://www.wikidata.org/entity/Q44539,Bhar's thakurbari,temple,D,blue,,,,,,,
610,http://www.wikidata.org/entity/Q67872429,,,Point(88.368666666 22.590916666),2.09,22.590916666667,88.368666666667,1.0,http://www.wikidata.org/entity/Q41176,House of Hemendra Mohan Bose,building,D,blue,,,,,,,
611,http://www.wikidata.org/entity/Q67875662,,,Point(88.35336 22.596292),2.843,22.596292,88.35336,1.0,http://www.wikidata.org/entity/Q1010155,Ahiritola Ghat,ghat,D,blue,,,,,,,
612,http://www.wikidata.org/entity/Q67882136,,,Point(88.360180555 22.5971),2.746,22.5971,88.360180555556,1.0,http://www.wikidata.org/entity/Q41176,House of Butto Kristo Paul,building,D,blue,,,,,,,
613,http://www.wikidata.org/entity/Q67886466,,,Point(88.353138888 22.593863888),2.605,22.593863888889,88.353138888889,1.0,http://www.wikidata.org/entity/Q44539,Durgeshwar Shiva temple,temple,D,blue,,,,,,,
614,http://www.wikidata.org/entity/Q67903771,,,Point(88.349823 22.587706),2.212,22.587706,88.349823,1.0,http://www.wikidata.org/entity/Q1010155,Jagannath ghat,ghat,D,blue,,,,,,,
615,http://www.wikidata.org/entity/Q67916413,,,Point(88.364263888 22.589838888),1.912,22.589838888889,88.364263888889,1.0,http://www.wikidata.org/entity/Q61443650,Beadon Street sub post office,sub post office,D,blue,,,,,,,
616,http://www.wikidata.org/entity/Q68006298,,,Point(88.368926 22.58803),1.787,22.58803,88.368926,1.0,http://www.wikidata.org/entity/Q3253281,Azad Hind Bag,artificial pond,D,blue,,,,,,,
618,http://www.wikidata.org/entity/Q68006990,,,Point(88.3695 22.587555555),1.755,22.587555555556,88.3695,1.0,http://www.wikidata.org/entity/Q41176,"2, Urquhart Square",building,D,blue,,,,,,,
619,http://www.wikidata.org/entity/Q68007159,,,Point(88.368166666 22.585972222),1.545,22.585972222222,88.368166666667,1.0,http://www.wikidata.org/entity/Q41176,YMCA Vivekananda Road,building,D,blue,,,,,,,
621,http://www.wikidata.org/entity/Q68007706,,,Point(88.370972222 22.585722222),1.625,22.585722222222,88.370972222222,1.0,http://www.wikidata.org/entity/Q41176,House of Janardan Saha,building,D,blue,,,,,,,
622,http://www.wikidata.org/entity/Q68008553,,,Point(88.370083333 22.585972222),1.612,22.585972222222,88.370083333333,1.0,http://www.wikidata.org/entity/Q44539,Sri Sri Jagat Janani temple,temple,D,blue,,,,,,,
623,http://www.wikidata.org/entity/Q68011169,,,Point(88.3695 22.584805555),1.469,22.584805555556,88.3695,1.0,http://www.wikidata.org/entity/Q41176,"16, D. L. Roy street",building,D,blue,,,,,,,
624,http://www.wikidata.org/entity/Q68011455,,,Point(88.369916666 22.586555555),1.666,22.586555555556,88.369916666667,1.0,http://www.wikidata.org/entity/Q16970,Duff Church,church building,D,blue,,,,,,,
625,http://www.wikidata.org/entity/Q68015182,,,Point(88.370083333 22.584833333),1.497,22.584833333333,88.370083333333,1.0,http://www.wikidata.org/entity/Q44539,Thakurbari of Bankubihari Saha,temple,D,blue,,,,,,,
626,http://www.wikidata.org/entity/Q68015336,,,Point(88.36925 22.586638888),1.65,22.586638888889,88.36925,1.0,http://www.wikidata.org/entity/Q41176,"71, Sisir Bhadury Sarani",building,D,blue,,,,,,,
627,http://www.wikidata.org/entity/Q68015418,,,Point(88.370472222 22.587666666),1.801,22.587666666667,88.370472222222,1.0,http://www.wikidata.org/entity/Q41176,"14/1, Duff Street",building,D,blue,,,,,,,
628,http://www.wikidata.org/entity/Q68015417,,,Point(88.37 22.586944444),1.709,22.586944444444,88.37,1.0,http://www.wikidata.org/entity/Q423208,St. Margaret's School,private school,D,blue,,,,,,,
629,http://www.wikidata.org/entity/Q68015770,,,Point(88.372111111 22.587472222),1.852,22.587472222222,88.372111111111,1.0,http://www.wikidata.org/entity/Q41176,"18, Dr. Dhiren Sen Sarani",building,D,blue,,,,,,,
630,http://www.wikidata.org/entity/Q68015980,,,Point(88.368972222 22.584861111),1.455,22.584861111111,88.368972222222,1.0,http://www.wikidata.org/entity/Q41176,House of Dwijendralal Roy,building,D,blue,,,,,,,
631,http://www.wikidata.org/entity/Q68016138,,,Point(88.371305555 22.586666666),1.735,22.586666666667,88.371305555556,1.0,http://www.wikidata.org/entity/Q41176,"25, Rammohan Saha lane",building,D,blue,,,,,,,
633,http://www.wikidata.org/entity/Q68016742,,,Point(88.370111111 22.585611111),1.577,22.585611111111,88.370111111111,1.0,http://www.wikidata.org/entity/Q41176,Saha House,building,D,blue,,,,,,,
634,http://www.wikidata.org/entity/Q68016817,,,Point(88.369638888 22.584722222),1.467,22.584722222222,88.369638888889,1.0,http://www.wikidata.org/entity/Q41176,"15, D. L. Roy street",building,D,blue,,,,,,,
635,http://www.wikidata.org/entity/Q68018111,,,Point(88.3752 22.580499999),1.452,22.580499999769,88.375200000416,1.0,http://www.wikidata.org/entity/Q67383935,Athenaeum Institution,co-educational school,D,blue,,,,,,,
638,http://www.wikidata.org/entity/Q68061808,,,Point(88.372379 22.572338),0.872,22.572338,88.372379,1.0,http://www.wikidata.org/entity/Q16560,Cossimbazar Rajbati,palace,D,blue,,,,,,,
639,http://www.wikidata.org/entity/Q68074254,,,Point(88.364033 22.57782),0.575,22.57782,88.364033,1.0,http://www.wikidata.org/entity/Q132510,College Street Market,market,D,blue,,,,,,,
640,http://www.wikidata.org/entity/Q68074746,,,Point(88.363802 22.574655),0.224,22.574655,88.363802,1.0,http://www.wikidata.org/entity/Q174782,College Square,square,D,blue,,,,,,,
642,http://www.wikidata.org/entity/Q68156673,,,Point(88.368805555 22.588888888),1.875,22.588888888889,88.368805555556,1.0,http://www.wikidata.org/entity/Q179700,Statue of Butto Kristo Paul,statue,D,blue,,,,,,,
643,http://www.wikidata.org/entity/Q68159840,,,Point(88.362616 22.574916),0.285,22.574916,88.362616,1.0,http://www.wikidata.org/entity/Q30785519,Ashutosh Shiksha Prangan,university campus,D,blue,,,,,,,
644,http://www.wikidata.org/entity/Q68272414,,,Point(88.3475105 22.570580305),1.698,22.570580305556,88.3475105,1.0,http://www.wikidata.org/entity/Q41176,Old Reserve Bank of India Central Office building,building,D,blue,,,,,,,
645,http://www.wikidata.org/entity/Q68292112,,,Point(88.346375 22.574513888),1.811,22.574513888889,88.346375,1.0,http://www.wikidata.org/entity/Q41176,Customs House,building,D,blue,,,,,,,
646,http://www.wikidata.org/entity/Q68455460,,,Point(88.347797425 22.571324726),1.659,22.571324726784,88.347797425377,1.0,http://www.wikidata.org/entity/Q179700,Statue of Maharaja Lakshmishwar Singh of Darbhanga,statue,D,blue,,,,,,,
647,http://www.wikidata.org/entity/Q68482484,,,Point(88.349936 22.559887),2.017,22.559887,88.349936,1.0,http://www.wikidata.org/entity/Q3253281,Manohar Das Tarag,artificial pond,D,blue,,,,,,,
648,http://www.wikidata.org/entity/Q68597114,,,Point(88.366676 22.559764),1.461,22.559764,88.366676,1.0,http://www.wikidata.org/entity/Q41176,House of Henry Louis Vivian Derozio,building,D,blue,,,,,,,
649,http://www.wikidata.org/entity/Q68647037,,,Point(88.365653 22.546386),2.925,22.546386,88.365653,1.0,http://www.wikidata.org/entity/Q157570,Gas Crematorium,crematorium,D,blue,,,,,,,
650,http://www.wikidata.org/entity/Q68708889,,,Point(88.351507 22.553666),2.464,22.553666,88.351507,1.0,http://www.wikidata.org/entity/Q41176,Queen's Mansion,building,D,blue,,,,,,,
652,http://www.wikidata.org/entity/Q69265409,,,Point(88.337205 22.535694),4.939,22.535694,88.337205,1.0,http://www.wikidata.org/entity/Q14750991,Bhowanipore Cemetery,Commonwealth War Graves Commission maintained cemetery,D,blue,,,,,,,
653,http://www.wikidata.org/entity/Q74549430,,,Point(88.34238 22.599159999),3.684,22.599159999605,88.342380000307,1.0,http://www.wikidata.org/entity/Q22713629,Salkia Shri Vikram Balika Vidyalaya,girls' school,D,blue,,,,,,,
656,http://www.wikidata.org/entity/Q74549578,,,Point(88.318969999 22.56224),4.756,22.56224000007,88.318969999224,1.0,http://www.wikidata.org/entity/Q64062731,Shibpur Dinobundhoo Institution (Main),higher secondary school,D,blue,,,,,,,
659,http://www.wikidata.org/entity/Q75551988,,,Point(88.372894444 22.574805555),0.955,22.574805555556,88.372894444444,1.0,http://www.wikidata.org/entity/Q41176,Kamal Kutir,building,D,blue,,,,,,,
660,http://www.wikidata.org/entity/Q75738551,,,Point(88.342613 22.583094),2.475,22.583094,88.342613,1.0,http://www.wikidata.org/entity/Q41176,Howrah station building,building,D,blue,,,,,,,
661,http://www.wikidata.org/entity/Q79443012,,,Point(88.36925 22.587111111),1.7,22.587111111111,88.36925,1.0,http://www.wikidata.org/entity/Q41176,Scottish Church College - B.Ed block,building,D,blue,,,,,,,
662,http://www.wikidata.org/entity/Q79458603,,,Point(88.368422222 22.585888888),1.544,22.585888888889,88.368422222222,1.0,http://www.wikidata.org/entity/Q41176,YMCA working hostel,building,D,blue,,,,,,,
664,http://www.wikidata.org/entity/Q85783146,,,Point(88.3475105 22.5705803),1.698,22.5705803,88.3475105,1.0,http://www.wikidata.org/entity/Q33506,RBI Museum,museum,D,blue,,,,,,,
665,http://www.wikidata.org/entity/Q96631584,,,Point(88.367012 22.603238),3.417,22.603238,88.367012,1.0,http://www.wikidata.org/entity/Q44539,Gour Nitai temple,temple,D,blue,,,,,,,
666,http://www.wikidata.org/entity/Q98731732,,,Point(88.357811111 22.598919444),2.987,22.598919444444,88.357811111111,1.0,http://www.wikidata.org/entity/Q3947,House of Adhar Sen,house,D,blue,,,,,,,
667,http://www.wikidata.org/entity/Q99732708,,,Point(88.339611 22.564126),2.667,22.564126,88.339611,1.0,http://www.wikidata.org/entity/Q199451,Tazaung,pagoda,D,blue,,,,,,,
668,http://www.wikidata.org/entity/Q104451592,,,Point(88.366988888 22.574355555),0.37,22.574355555556,88.366988888889,1.0,http://www.wikidata.org/entity/Q672070,Charu Guha Studio,photographic studio,D,blue,,,,,,,
671,http://www.wikidata.org/entity/Q105044529,,https://en.wikipedia.org/wiki/Dr._B_C_Roy_Post_Graduate_Institute_of_Paediatric_Sciences,Point(88.387516666 22.573702777),2.428,22.573702777778,88.387516666667,1.0,http://www.wikidata.org/entity/Q3918,Dr. B C Roy Post Graduate Institute of Paediatric Sciences,university,D,blue,,,,,,,
672,http://www.wikidata.org/entity/Q105653829,,,Point(88.35230255 22.575662611),1.237,22.575662611111,88.35230255,1.0,http://www.wikidata.org/entity/Q207694,Ghare Baire,art museum,D,blue,,,,,,,
673,http://www.wikidata.org/entity/Q105973023,,,Point(88.369133333 22.592033333),2.222,22.592033333333,88.369133333333,1.0,http://www.wikidata.org/entity/Q41176,House of Satyendra Nath Bose,building,D,blue,,,,,,,
674,http://www.wikidata.org/entity/Q106298173,,https://en.wikipedia.org/wiki/Bengal_Solar_Plant,Point(88.366666666 22.566666666),0.723,22.566666666667,88.366666666667,1.0,http://www.wikidata.org/entity/Q1003207,Bengal Solar Plant,photovoltaic power station,D,blue,,,,,,,
675,http://www.wikidata.org/entity/Q107208118,,,Point(88.3626269 22.531512),4.576,22.531512,88.3626269,1.0,http://www.wikidata.org/entity/Q207694,Centre of International Modern Art,art museum,D,blue,,,,,,,
676,http://www.wikidata.org/entity/Q107534329,,,Point(88.370836 22.5695516),0.791,22.5695516,88.370836,1.0,http://www.wikidata.org/entity/Q16970,St. Johns Catholic Church,church building,D,blue,,,,,,,
677,http://www.wikidata.org/entity/Q107584093,,,Point(88.33675 22.55775),3.242,22.55775,88.33675,1.0,http://www.wikidata.org/entity/Q378499,Fort William semaphore tower,semaphore line,D,blue,,,,,,,
678,http://www.wikidata.org/entity/Q108502282,,,Point(88.372997 22.575053),0.972,22.575053,88.372997,1.0,http://www.wikidata.org/entity/Q173387,Sucharu Devi's grave,grave,D,blue,,,,,,,
679,http://www.wikidata.org/entity/Q108502280,,,Point(88.373075 22.575031),0.979,22.575031,88.373075,1.0,http://www.wikidata.org/entity/Q173387,Keshub Chunder Sen's grave,grave,D,blue,,,,,,,
680,http://www.wikidata.org/entity/Q108502281,,,Point(88.372978 22.575033),0.97,22.575033,88.372978,1.0,http://www.wikidata.org/entity/Q173387,Suniti Devi's grave,grave,D,blue,,,,,,,
681,http://www.wikidata.org/entity/Q108502294,,,Point(88.373086 22.575014),0.98,22.575014,88.373086,1.0,http://www.wikidata.org/entity/Q173387,Karuna Chunder Sen's grave,grave,D,blue,,,,,,,
682,http://www.wikidata.org/entity/Q108502295,,,Point(88.373025 22.575008),0.973,22.575008,88.373025,1.0,http://www.wikidata.org/entity/Q173387,Nirmul Chunder Sen's grave,grave,D,blue,,,,,,,
683,http://www.wikidata.org/entity/Q108502292,,,Point(88.373069 22.575039),0.979,22.575039,88.373069,1.0,http://www.wikidata.org/entity/Q173387,Jaganmohinee Devi's grave,grave,D,blue,,,,,,,
684,http://www.wikidata.org/entity/Q108502298,,,Point(88.372956 22.575053),0.968,22.575053,88.372956,1.0,http://www.wikidata.org/entity/Q173387,Subrata Chunder Sen's grave,grave,D,blue,,,,,,,
685,http://www.wikidata.org/entity/Q108502299,,,Point(88.372939 22.57505),0.966,22.57505,88.372939,1.0,http://www.wikidata.org/entity/Q173387,Sujata Devi's grave,grave,D,blue,,,,,,,
686,http://www.wikidata.org/entity/Q108502296,,,Point(88.373033 22.574972),0.973,22.574972,88.373033,1.0,http://www.wikidata.org/entity/Q173387,Prafulla Chunder Sen's grave,grave,D,blue,,,,,,,
687,http://www.wikidata.org/entity/Q108502302,,,Point(88.372928 22.575069),0.966,22.575069,88.372928,1.0,http://www.wikidata.org/entity/Q173387,Sunith Sen's grave,grave,D,blue,,,,,,,
688,http://www.wikidata.org/entity/Q108502300,,,Point(88.372842 22.574939),0.953,22.574939,88.372842,1.0,http://www.wikidata.org/entity/Q173387,Sabitri Devi's grave,grave,D,blue,,,,,,,
689,http://www.wikidata.org/entity/Q108502304,,,Point(88.372931 22.575047),0.965,22.575047,88.372931,1.0,http://www.wikidata.org/entity/Q173387,Pradip Sen's grave,grave,D,blue,,,,,,,
690,http://www.wikidata.org/entity/Q108502305,,,Point(88.372978 22.575031),0.97,22.575031,88.372978,1.0,http://www.wikidata.org/entity/Q173387,Mrinalini Sen's grave,grave,D,blue,,,,,,,
691,http://www.wikidata.org/entity/Q108502402,,,Point(88.372931 22.575044),0.965,22.575044,88.372931,1.0,http://www.wikidata.org/entity/Q173387,Monica Devi's grave,grave,D,blue,,,,,,,
692,http://www.wikidata.org/entity/Q108502400,,,Point(88.372911 22.575003),0.962,22.575003,88.372911,1.0,http://www.wikidata.org/entity/Q173387,Saral Chandra Sen's grave,grave,D,blue,,,,,,,
693,http://www.wikidata.org/entity/Q108504225,,,Point(88.372842 22.574939),0.953,22.574939,88.372842,1.0,http://www.wikidata.org/entity/Q173387,Gajendra Narayan's grave,grave,D,blue,,,,,,,
694,http://www.wikidata.org/entity/Q108504379,,,Point(88.373062222 22.57494),0.975,22.57494,88.373062222222,1.0,http://www.wikidata.org/entity/Q173387,Mohini Devi's grave,grave,D,blue,,,,,,,
695,http://www.wikidata.org/entity/Q108504547,,,Point(88.373062222 22.57494),0.975,22.57494,88.373062222222,1.0,http://www.wikidata.org/entity/Q173387,Sudarshan Sen's grave,grave,D,blue,,,,,,,
701,http://www.wikidata.org/entity/Q108598529,,,Point(88.344219444 22.566769444),2.123,22.566769444444,88.344219444444,1.0,http://www.wikidata.org/entity/Q41176,West Bengal Legislative Assembly building,building,D,blue,,,,,,,
702,http://www.wikidata.org/entity/Q110602708,,,Point(88.3355345 22.5870825),3.325,22.5870825,88.3355345,1.0,http://www.wikidata.org/entity/Q537127,Chandmari Bridge,road bridge,D,blue,,,,,,,
704,http://www.wikidata.org/entity/Q111402414,,,Point(88.34014 22.56648),2.534,22.56648,88.34014,1.0,http://www.wikidata.org/entity/Q5461999,Polo Floatel Kolkata,flotel,D,blue,,,,,,,
705,http://www.wikidata.org/entity/Q111836197,,,Point(88.3431229 22.5696719),2.158,22.5696719,88.3431229,1.0,http://www.wikidata.org/entity/Q41176,New Secretariat Building,building,D,blue,,,,,,,
706,http://www.wikidata.org/entity/Q115714505,,,Point(88.3374517 22.5633782),2.904,22.5633782,88.3374517,1.0,http://www.wikidata.org/entity/Q1664720,Sea Explorers' Institute,institute,D,blue,,,,,,,
707,http://www.wikidata.org/entity/Q117430013,,,Point(88.363666479 22.553067423),2.177,22.553067423749,88.363666479132,1.0,http://www.wikidata.org/entity/Q1128397,Mother House Of The Missionaries Of Charity,convent,D,blue,,,,,,,
708,http://www.wikidata.org/entity/Q120883508,,https://en.wikipedia.org/wiki/State_Bank_Archives_and_Museum,Point(88.343 22.569),2.183,22.569,88.343,1.0,http://www.wikidata.org/entity/Q166118,State Bank Archives and Museum,archive,D,blue,,,,,,,
710,http://www.wikidata.org/entity/Q124681311,,,Point(88.34997 22.56303),1.785,22.56303,88.34997,1.0,http://www.wikidata.org/entity/Q2920759,Esplanade Bus Terminus,bus terminus,D,blue,,,,,,,
0,http://www.wikidata.org/entity/Q30547,,,Point(88.363666479 22.553067423),2.177,22.553067423749,88.363666479132,189.0,,Mother Teresa,,graves,black,Mother House Of The Missionaries Of Charity,,,,,,
35,,,,,,22.545811,88.360592,,,"
South Park Street Cemetery
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/south-park-street-cemetery,"
An eclectic mix of influences rot together in harmony in this India necropolis.
",,,,
37,,,,,,22.576014,88.364466,,,"
College Street
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/college-street,"
The world's largest secondhand book market is a haven for bibliophiles and bargain hunters.
",,,,
40,,,,,,22.560069,88.352468,,,"
Nahoum and Sons
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/nahoum-sons-kolkata-jewish-bakery,"
This Jewish bakery, among the last in the region, sells legendary sweets from a century-old storefront.
",,,,
95,,,,,,22.573307,88.354801,,,"
Terreti Bazaar 
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/terreti-bazaar,"
For just a few hours each morning, this market serves specialties from the city's shrinking Chinese-Indian community.
",,,,
96,,,,,,22.573307,88.354801,,,"
Terreti Bazaar 
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/terreti-bazaar,"
For just a few hours each morning, this market serves specialties from the city's shrinking Chinese-Indian community.
",,,,
132,,,,,,22.554246,88.335874,,,"
The Black Hole of Calcutta
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/the-black-hole-of-calcutta,"
The site of an atrocity that would be used to justify Britains conquest of India.
",,,,
138,,,,,,22.599552,88.362708,,,"
Mud Statues of Kumortuli 
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/mud-statues-of-kumortuli,"
The potters' quarter is packed with artists sculpting clay gods with mud from the sacred Ganges river.
",,,,
153,,,,,,22.57862,88.353388,,,"
Cathedral of the Most Holy Rosary
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/cathedral-of-the-most-holy-rosary,"
Kolkatas only Portuguese church has a curious link with chickens.
",,,,
154,,,,,,22.563299,88.351407,,,"
Pen Hospital
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/kolkata-pen-hospital,"
For more than 70 years, this small shop has been a go-to for Kolkata's fountain pen connoisseurs and collectors.
",,,,
179,,,,,,22.579622,88.351325,,,"
Armenian Church of the Holy Nazareth
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/armenian-church-of-the-holy-nazareth,"
This historic complex is home to the oldest Christian grave in Kolkata, India.
",,,,
188,,,,,,22.540889,88.341482,,,"
Ronald Ross Memorial
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/ronald-ross-memorial,"
A monument to the British doctor who connected mosquitoes to malaria.
",,,,
204,,,,,,22.547651,88.391314,,,"
Chinese Kali Mandir
",,atlas_obscura,gold,,https://www.atlasobscura.com/places/chinese-kali-mandir-temple,"
In Kolkata's China Town, a temple to the Hindu goddess Kali.
",,,,
0,,,,,,0.0,0.0,,,Bishnupur (Rarh)|Bishnupur,Go next,wikivoyage,red,,,,,,"'''Bishnupur (Rarh)|Bishnupur'''  Famous for terracotta temples, clay sculptures and silk sarees.","(0, 0)"
1,,,,,,25.5142686,90.2130565,,,Darjeeling Hills,Go next,wikivoyage,red,,,,,,"'''Darjeeling Hills'''  A mountainous region home to Darjeeling, Kalimpong and Mirik. When Darjeeling is your destination, you could travel the last {{km|72}} by a combination of bus/train and the famous Darjeeling Himalayan Railway.","(25.5142686, 90.2130565)"
2,,,,,,21.623077,87.5082534,,,Digha,Go next,wikivoyage,red,,,,,,'''Digha'''  A beach town in the southern part of the state. Buses from Esplanade Bus Station.,"(21.623077, 87.5082534)"
3,,,,,,6.1212013,-75.6275627,,,Santiniketan,Go next,wikivoyage,red,,,,,,"'''Santiniketan'''  Famous for the ''ashramik'' school and university founded by Bengali poet Rabindranath Tagore, the town is also known for its handmade leather crafts and ''kantha'' stitch sarees.","(6.1212013, -75.6275627)"
4,,,,,,0.0,0.0,,,Sundarbans National Park,Go next,wikivoyage,red,,,,,,"'''Sundarbans National Park'''  Part of the largest littoral mangrove in the world, and home to the famous Bengal Tigers.","(0, 0)"
0,,,,,,-0.2864982,36.0514231,,,Bangladesh,Go next,wikivoyage,red,,,,,,"'''Bangladesh'''  Tickets for buses running to the border and Dhaka can be reserved at Shyamoli Yatri Paribahan. Beware that several travel agencies around this area also sell tickets for these buses, but at very inflated prices. At the border, it's best to change money on the Indian side.","(-0.2864982, 36.0514231)"
1,,,,,,27.549511,90.5119273,,,Bhutan,Go next,wikivoyage,red,,,,,,"'''Bhutan'''  Tucked away in the corner of the bus station is a small Bhutanese Government kiosk selling tickets for buses running to the Bhutanese border town of Phuentsholing. Buses depart Tu Th Sa at 9PM, and the 18-hr journey costs 300.","(27.549511, 90.5119273)"
